Title,Center,Date,Sponsor,Advisors,Abstract,URL,PDF
Assessing the Feasibility of Climate Change Mitigation Project Implementation in the Wandle Valley Regional Park,"London, England",June 2009,Ms. Sue Walton,"['Elmes, Michael B.', 'Higgins, Lorraine D']","This project, conducted for Groundwork London, a non-profit environmental agency, examined the feasibility of climate-proofing projects in four Wandle Valley Regional Park sites. To develop these projects we interviewed local council members, analyzed site-specific climate risks and resources using maps, direct observation, and borough council documents, and researched climate-mitigation technologies. Using this information we recommended three projects per site based on local interest, needs, and resources, including solar lighting, planting projects, river restoration, and plans for community access and education.",http://digitalcommons.wpi.edu/iqp-all/2847,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3846&context=iqp-all
Perceptions of Climate Change in Iceland,"London, England",October 2018,Ms. Sue Walton,"['Belz, Melissa']","Scientific research is often prioritized over social research in climate change studies. Personal stories convey perceived vulnerabilities, adaptations and resiliencies while discerning societal influences. To better understand climate change perceptions, we collected stories of environmental changes from lifelong residents of Iceland. We conducted in-depth interviews with residents in four locations of interest. Stories from residents supported the climate change indicators researched by experts. Overall, Icelanders did not feel vulnerable to environmental changes but did worry for future generations. We also produced a documentary to share the stories. Future climate change perception studies should consider societal implications to gain a more holistic view of climate change impacts.",http://digitalcommons.wpi.edu/iqp-all/5142,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6141&context=iqp-all
Developing an Educational Module on the Impacts of Climate Change on Puerto Rico and its Inhabitants,Puerto Rico,December 2014,US Forest Service,"['Mathews, Lauren M.', 'Ranalli, Tina-Marie']","The goal of this project was to develop effective lessons that could be used to teach middle school students in Río Grande, Puerto Rico about the effects of climate change. These lessons provided evidence and examples of climate change in Puerto Rico. We used interviews to determine what material to incorporate into our lessons and how to best deliver it. To analyze the effectiveness of our lessons we tested our lesson on a 9th grade class. Statistical analysis showed a significant increase in understanding climate change based on the information in the lessons. We revised the lessons and developed supplemental lesson outlines to deepen student understanding of climate change topics. These outlines should be further developed and tested to encourage climate change education in Puerto Rico.",http://digitalcommons.wpi.edu/iqp-all/1519,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2518&context=iqp-all
Designing and Prototyping an Interactive Exhibition at Te Papa Tongarewa,New Zealand,March 2018,Museum of New Zealand Te Papa Tongarewa,"['Elmes, Michael B.', 'Ruiz, Carolina']","The goal of this project was to aid The Museum of New Zealand Te Papa Tongarewa in communicating the importance of ice core research as evidence for climate change by recommending designs for an interactive exhibition. To achieve this goal, our team developed, prototyped, and tested potential exhibition designs through an iterative process that allowed for improvements to be made based on visitor feedback. We used this feedback to gauge the visitor experience of our exhibition and to establish proof of our concept. Our team created a final design and recommendations for Te Papa to consider for their exhibition.",http://digitalcommons.wpi.edu/iqp-all/1459,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2458&context=iqp-all
Mapping Vulnerability to Climate Change in the Royal Borough of Kingston upon Thames,"London, England",April 2010,Royal Borough of Kingston Council,"['Golding, Dominic', 'Smith, Ruth L.']","Due to increasing concern about the potential impacts of climate change, the Royal Borough of Kingston decided to perform a vulnerability, hazard, and risk analysis to assist emergency planning and preparedness as well as help shape climate change adaptation strategies. Our team incorporated aspects from several methods of performing a vulnerability analysis to produce the preferred method for Kingston. A social vulnerability index was calculated using variables identified by three of more sources as being indicative of increased vulnerability to identify the most socially and economically vulnerable areas in Kingston.",http://digitalcommons.wpi.edu/iqp-all/340,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1339&context=iqp-all
Technology transfer and global climate change recommendations for the future at Chulalongkorn University's Energy Research Institute.,"London, England",January 2001,Royal Borough of Kingston Council,"['Demetry, Chrysanthe', 'Pierson, Stephen W.']","Global Climate change is a problem that confronts the entire world. Chulalongkorn University's Energy Research Institute (ERI) is at the forefront of clean energy technologies in Thailand. To help the ERI position itself for the future we assessed the current climate for technology transfer related to climate change. Through document review, attending a regional conference on global climate change, and interviewing professionals in the field of global climate change we assessed the current climate. Recommendations were made to allow the ERI to take advantage of the current situation of technology transfer and global climate change.",http://digitalcommons.wpi.edu/iqp-all/3592,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4591&context=iqp-all
The Effect of CO2 Emissions on the North Western American Alpine Tundra,"London, England",October 2009,Royal Borough of Kingston Council,"['Crusberg, Theodore C.']",The climate of the Rocky Mountains is being altered drastically due to the effects of global climate change.  If current rates of temperature change continue the alpine tundra in this region faces extinction.  Using data gathered from various sites located in the Niwot Ridge (CO) this project discusses changes in the plant and animal life of the area due to apparent recent changes in the local climate.,http://digitalcommons.wpi.edu/iqp-all/1258,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2257&context=iqp-all
Ethnographic Film Study of Indonesian Culture & Climate,"London, England",April 2019,CERES,"['Danielski, Althea Marie', 'Jarvis, Susan M.']","The Centre for Education and Research in Environmental Strategies (CERES) wanted to enhance the experience of their visitors by incorporating a series of documentaries into their Indonesian Village. Our documentaries focused on climate relief efforts related to the topics: Air Pollution, Rubbish, Flooding, and General Climate Change. In order to achieve this goal, our team conducted 49 video-recorded interviews with Indonesian community members. The clips from the interviews were then produced into separate topic-based documentaries. CERESwill incorporate these videos into the education program in their Indonesian Village to help visitors of the park learn more about the Indonesian culture through the personal stories we documented.",http://digitalcommons.wpi.edu/iqp-all/5426,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6425&context=iqp-all
Analyzing the Resettlement of Puerto Ricans Post-Hurricane Maria in Worcester,Puerto Rico,December 2017,None,"['Servatius, Brigitte', 'Williams, Nicholas Enyart']","On September 20, 2017, Hurricane Maria made landfall on Puerto Rico, devastating the island and prompting an exodus of Puerto Ricans to the U.S. mainland. Projections of these migration numbers range widely. For our project, we made informed predictions of how many Puerto Ricans may arrive in the City of Worcester, Massachusetts and investigated what resources are critical for their resettlement.",http://digitalcommons.wpi.edu/iqp-all/843,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1842&context=iqp-all
Town of Auburn Climate Action Plan,Worcester Community Project Center,December 2012,"Adam Burney, Auburn Town Planner","['Dehner, Corey']","The goal of our project was to draft a Climate Action Plan (CAP) for the municipal government of Auburn, Massachusetts. We educated the residents on the effects of climate change and set a framework for drafting a CAP through the Local Governments for Sustainability (ICLEI) 5 Milestone program.",http://digitalcommons.wpi.edu/iqp-all/1387,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2386&context=iqp-all
Investigating Flood and Climate Change Perception in the Hutt Valley,New Zealand,March 2015,Greater Wellington Regional Council,"['Elmes, Michael B.', 'Hersh, Robert']","Major floods pose a risk to the Hutt Valley due to surrounding geography and increased urbanization. Climate change models suggest flood impacts are likely to increase in the coming decades. Our project investigated public perception of flood risk and climate change in the Hutt Valley. To achieve this goal, we developed and conducted a public survey in collaboration with the Greater Wellington Regional Council. Based on the results of 202 face-to-face interviews with the Hutt Valley public, as well as five in-depth business interviews, we developed a set of awareness and education proposals to support the efforts of the regional council.",http://digitalcommons.wpi.edu/iqp-all/740,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1739&context=iqp-all
Promoting Renewable Energy Use Through Community-Based Education,"Bangkok, Thailand",March 2013,The Population and Community Development Associati,"['Selkow, Stanley M.', 'Tuler, Seth']","The goal of this project was to provide recommendations to the Population and Community Development Association (PDA) in Mae Mo to develop a learning center about renewable energy and its applications. Communities of Mae Mo currently rely on conventional sources of energy to meet their needs. There is a gap in knowledge about the costs of conventional energy and benefits of renewable energy technologies. Using a community-based approach, we have developed recommendations to PDA regarding the development of a learning center to educate communities on using renewable energy to reduce their dependence on energy derived from fossil fuels.",http://digitalcommons.wpi.edu/iqp-all/1557,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2556&context=iqp-all
Climate change in the American southwest.,"Bangkok, Thailand",January 2004,The Population and Community Development Associati,"['Crusberg, Theodore C.']","This project was necessitated by concern over the water supply problem due to rapid population increase in our nations Southwest that experts fear may be on the horizon. Future climate effects, as well as technological advances and conservation methods will determine the impact of such problems on water supply. This project has examined and made speculations on different climate prediction techniques. Several methods for predicting this regions possible climate in coming years are presented and described in the project report.",http://digitalcommons.wpi.edu/iqp-all/4796,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5795&context=iqp-all
Trace Gases & Their Effects,"Bangkok, Thailand",March 2009,The Population and Community Development Associati,"['Humi, Mayer']","This project examined greenhouse gas emissions and their effect on the overall global temperature.  A climate model was developed to simulate temperature rise as a function of emission levels.  Using the model, various carbon emission policies were simulated to estimate the temperature increase at 2100. New technologies are expected to mitigate the impact of emission levels. Possible innovative strategies were researched, including clean coal technology, genetically modified crops, and biofuels. The strategies were analyzed based on feasibility and economic efficiency.",http://digitalcommons.wpi.edu/iqp-all/2562,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3561&context=iqp-all
Assessing Barriers and Facilitators Associated with Hazard Mitigation Planning with Considerations for Climate Changes for Massachusetts Coastal Communities,"Bangkok, Thailand",March 2012,The Population and Community Development Associati,"['Tuler, Seth']","Our project’s purpose was to identify the barriers associated with creating a hazard mitigation plan with considerations for climate change, specifically for Massachusetts coastal communities. The scope included research interviews conducted with knowledgeable officials in three towns, Salisbury, Marblehead, and Westport. We determined that the most important factors to including a climate change section were experience and knowledge among planners, properly prioritized funds, staff availability, individual’s perceptions on given issues, and proper coordination and communication between all parties.",http://digitalcommons.wpi.edu/iqp-all/930,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1929&context=iqp-all
Managing Climate Change: Sjællandsgade as a Green Corridor,"Copenhagen, Denmark",May 2013,Miljopunkt Norrebro,"['Ludwig, Reinhold']","This report, prepared for Danish ecoactivist group Miljøpunkt Nørrebro, contains a detailed study of the viability of sustainable floodwater mitigation solutions and climate change adaptation in the Sjællandsgade corridor of Copenhagen. Included in this report are theoretical and empirical documentation of the validity of these problems, as well as operational deliverables. Three tiered solutions and an interactive rainfall prediction spreadsheet have been developed specifically for Sjællandsgade, and a comprehensive technical manual is provided for similar neighborhoods seeking individualized floodwater solutions.",http://digitalcommons.wpi.edu/iqp-all/3016,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4015&context=iqp-all
Development of an Energy Reduction Plan for the Town of Auburn,Worcester Community Project Center,April 2013,Town of Auburn,"['Dehner, Corey', 'Golding, Dominic']","The goal of our project was to draft an Energy Reduction Plan (ERP) for the town of Auburn, MA. In recent years many communities have developed their own Energy Reduction Plans due to the increasing use and cost of energy. The development and creation of this plan will help Auburn be more energy aware and save money. We distributed surveys and held interviews to understand the opinions of Auburn residents and business owners regarding energy reduction options. Our findings will help the town in developing the Energy Reduction Plan and save energy in the future.",http://digitalcommons.wpi.edu/iqp-all/1388,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2387&context=iqp-all
A Study of Global Temperatures and their Trends,Worcester Community Project Center,April 2010,Town of Auburn,"['Mitrea, Irina', 'Volkov, Darko']","Because Global Warming is a growing problem in today's society, scientists are handled with the task of providing answers to help combat against this problem.  By using various methods such as Dendrochronology, Ice Cores and ENSO observations scientists are able to construct environmental models that provide some of the answers that people seek.  The reader will be introduced to these various methods and shown how the IPCC, the Intergovernmental Panel on Climate Change, presents the research conducted by these scientists.",http://digitalcommons.wpi.edu/iqp-all/214,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1213&context=iqp-all
Trends in the Earth’s global temperature and natural cycles.,Worcester Community Project Center,April 2012,Town of Auburn,"['Volkov, Darko']","We examine in this project recent trends in the Earth's global surface temperature. This work supports the idea that the pace of global warming has not stalled in the last couple of years. We project observed trends into the future to obtain a measure of expected warming by 2050 and by 2100. Physically these projections rely on the assumption that man-made emissions of greenhouse gases will either continue at today's levels, or will continue to increase at today's rate. Finally we review what the expected impacts of average temperature change are on sea level rise, the precipitation cycle, and what adverse effects are feared regarding agriculture production.",http://digitalcommons.wpi.edu/iqp-all/3278,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4277&context=iqp-all
Heat Impacts on Occupational Health: A Comparison Between Agricultural and Industrial Settings in the Time of Climate Change,"Bangkok, Thailand",2012-03-01,"Uma Langkulsen, Faculty of Public Health at Thamma","['Addison, W. A.', 'Shockey, Ingrid K.']","Increasing global temperatures due to climate change threaten the welfare, health, and productivity of lower and middle-income workers in tropical developing countries. In collaboration with Thammasat University in Thailand and in contribution to the HOTHAPS international study, our goal was to compare how natural and artificial heat in Pathumthani and Samutprakan provinces affects agricultural and industrial workers using observations, interviews, and temperature data. Analysis showed that agricultural workers feel the effects of heat more than industrial workers due to their direct exposure to the natural environment, lack of amenities, and lack of regulated working time. Our recommendations are suggested to the workers, foreman/owners, researchers, and organizations.",http://digitalcommons.wpi.edu/iqp-all/675,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1674&context=iqp-all
Climate Change Narrative for the Indonesian Village,"Bangkok, Thailand",December 2018,CERES,"['Servatius, Brigitte', 'Servatius, Herman']","The sponsor for this project was the Centre for Education and Research in Environmental Strategies (CERES), a community environment park in Australia. We conducted interviews with 32 Indonesian living in Melbourne collecting 10 hours of footage. Using the major themes raised by the interviewees we produced five short-form educational videos on flooding, changes in seasons and weather patterns, air pollution, development and deforestation, and improper rubbish disposal. These videos will be used by CERES to educate the school groups in the Indonesian village, and be accessible to all visitors through the CERES mobile app. We created an archive with detailed, timestamped notes that will enable the efficient creation of future videos by CERES staff as well as later IQP teams.",http://digitalcommons.wpi.edu/iqp-all/5291,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6290&context=iqp-all
PUBLIC PERCEPTION OF WEATHER EVENTS VERSUS ACTUAL CLIMATE DATA,"Bangkok, Thailand",March 2011,CERES,"['Volkov, Darko']","After some parts of the world experienced a particularly cold winter in 2009-2010 and climate scientists from the Hadley Center for Climate Prediction and Research were accused of manipulating data, a controversy over the veracity of global warming sparked. The purpose of this IQP is to understand how climate data is sampled and analyzed, and to reassert that despite recent weather events, a global analysis of temperature in space and time strongly indicates a warming trend. We will also point to weaknesses in the arguments offered by the so called global warming skeptics.",http://digitalcommons.wpi.edu/iqp-all/83,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1082&context=iqp-all
Assessing Critical Infrastructure in Puerto Rico's Coastal Zone,Puerto Rico,May 2011,Department of Natural and Environmental Resources,"['Ludwig, Reinhold', 'Nikitina, Svetlana']","Some of Puerto Rico's critical infrastructure may not be structurally fit to withstand the effects of climate change such as sea level rise, coastal erosion, storm surge and tsunamis. In an attempt to reduce the dangers of climate change, our group worked in conjunction with our sponsor, the Department of Natural and Environmental Resources (DNER), to assess critical infrastructure in Puerto Rico's coastal zone. The goal of our project was to provide the DNER with insight into which infrastructure was most susceptible to the hazards of climate change and variability.",http://digitalcommons.wpi.edu/iqp-all/1096,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2095&context=iqp-all
Interactive Environmental Education: Developing an African Village Exhibit,"Melbourne, Australia",December 2016,CERES,"['Higgins, Lorraine D.', 'Ottmar, Erin R.']","Although public awareness of climate change has increased recently, key indicators show insufficient remediation. Our sponsor, CERES, works to educate the public about the effects of climate change on water and food security, and about environmental justice issues, such as conflict mineral mining. Our goal was to develop and test an African village exhibit to promote a personal understanding of the interconnected impacts of these problems on Australians and Africans. We researched exhibit design and studies of these environmental issues in both regions, then we developed and tested activities and signage for the exhibit, which will inspire more sustainable behaviors.",http://digitalcommons.wpi.edu/iqp-all/101,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1100&context=iqp-all
THE SOCIAL IMPACTS OF THE EL-NIÑO/SOUTHERN OSCILLATION CYCLE,"Melbourne, Australia",December 2011,CERES,"['Mathews, Lauren M.']","The El-Nino/Southern Oscillation, or ENSO, cycle affects human communities around the world, particularly in the Pacific Basin. The ENSO cycle influences already existing climate patterns, affecting meteorological patterns across the Pacific and around the world. These climatic disruptions induced by the ENSO cycle have immense social impact across the Pacific Basin. Consequently, understanding the ENSO cycle and its effects is vital to being able to respond to ENSO's impact on humanity.",http://digitalcommons.wpi.edu/iqp-all/1326,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2325&context=iqp-all
Global warming in the Colorado plateau.,"Melbourne, Australia",January 2007,CERES,"['Crusberg, Theodore C.']","In this Interactive Qualifying Project the effects of Global Warming in the Colorado Plateau were studied and evaluated. Previous studies of precipitation changes, acid deposition, and human influences that affected this region's environment were major influences in our research. The data collected included precipitation percentages, nutrient deposits, temperature changes and other factors, such as human influence, that may limit or harm the water supply and ecosystems in this area.",http://digitalcommons.wpi.edu/iqp-all/3634,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4633&context=iqp-all
Community Environmental Empowerment,"Melbourne, Australia",March 2010,Banksia Gardens Community Centre,"['Davis, Paul W.']","The Banksia Gardens Community Centre in Broadmeadows, Victoria, Australia seeks to educate and empower the youth of the Centre to adopt sustainable practices through its new Edu-Eco Link program. Based upon extensive consultation with the Broadmeadows youth and their mentors, our team established program design principles and developed a menu of suggested lesson plan options for the Centre.  The program entails excursions, discussions and experiments which link local and global climate change issues, culminating in participants' creation of an informative video.",http://digitalcommons.wpi.edu/iqp-all/1209,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2208&context=iqp-all
Global Warming's Effect on Animal Species in Colorado River Basin Alpine Tundra,"Melbourne, Australia",May 2009,Banksia Gardens Community Centre,"['Crusberg, Theodore C.']","The Colorado River Basin alpine tundra has experienced recent climate changes which are affecting the animal wildlife in the tundra. It was very hard to find the exact numerical changes in species population in alpine tundra's. However animals are very dependent on their environment, so when that changes it is safe to assume it affects the wildlife. This project investigated the changes occurring in the Colorado River Basin alpine tundra and draws conclusions on how it may be affecting animal wildlife.",http://digitalcommons.wpi.edu/iqp-all/1261,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2260&context=iqp-all
Promoting Carbon Neutrality CR18,Costa Rica,March 2018,CORCLIMA,"['Belz, Melissa']","Costa Rica is aiming to be the first carbon neutral country worldwide. Although there are national policies to accomplish this, Monteverde lacks a local plan to reduce and capture carbon emissions. In this project, we investigated how Monteverde is promoting carbon neutrality, analyzed data of carbon emissions and sequestration, and created infographics, blogs, and a video as part of a carbon neutrality awareness campaign, on behalf of CORCLIMA. We aimed to develop a campaign targeted at the Monteverde community that raises awareness of carbon emissions to both residents and organizations.",http://digitalcommons.wpi.edu/iqp-all/292,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1291&context=iqp-all
CERES Australia 2050 Trail Phase 2: Designing an Interpretive Trail,Costa Rica,December 2014,Centre for Education & Research in Environmental Strategies,"['Belz, Melissa', 'Farbrook, Joseph']","The Centre for Education and Research in Environmental Strategies (CERES) is a sustainability center and urban farm located in East Brunswick, Australia. The Australia 2030 Trail, an interpretive trail at CERES, encourages sustainable practices by showing the environmental effects of our lifestyle choices. After fifteen years of use, the trail needed redesigning and updating for current climate change projections. Our team focused on Phase 2 of the Australia 2050 Trail redesign by verifying climate projections from a previous WPI team, evaluating design suggestions, creating a virtual prototype, and designing new illustrated display boards. By testing the design with students and CERES’ staff, we found that it successfully communicated CERES’ mission and is ready to be implemented.",http://digitalcommons.wpi.edu/iqp-all/5211,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6210&context=iqp-all
Adaptation of Russian energy companies to a changing Arctic,Russia,October 2013,EY (CIS) B.V.,"['Kasouf, Chickery J.', 'Nikitina, Svetlana']","Russian energy companies are unprepared for a climate-changed future in the Arctic. Their lack of preparation leads to unsustainable business practices that are not economically viable. This project gives energy companies a glance ahead at what their unsustainable business practices will lead to. In addition, the project explores existing adaptation solutions to the worst climate change impacts, as well as provides a framework for energy companies to follow to develop their own adaptations. We believe that giving companies a glance ahead at what their unsustainable business practices will result in will increase their awareness of their activities and encourage them to find adaptation solutions.",http://digitalcommons.wpi.edu/iqp-all/1053,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2052&context=iqp-all
Ribat Al Fath BioPark: Developing a Design & Education Strategy,Russia,March 2019,Ribat Al Fath,"['El-Korchi, Tahar', 'Miller, Fabienne']","Morocco and its citizens face many challenges as climate change, coupled with a lack of focus on sustainable living practices, threaten the country’s biodiversity and water resources. The goal of this project was to assist Ribat Al Fath in the development of an educational and recreational biodiversity park where visitors can learn about biodiversity, climate change, and agricultural practices in Rabat. The team conducted background research, interviews, and observational studies to identify key themes related to climate change and agriculture. Based on the results, the team identified an educational strategy for the Biopark, including teaching methods and topics relating to climate change, and developed a 3D design of the Biopark.",http://digitalcommons.wpi.edu/iqp-all/5326,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6325&context=iqp-all
