Sponsor,Center,Count
AIAA New England Chapter,"Sante Fe, New Mexico",1
AIAAE,"Sante Fe, New Mexico",1
AIAA-NE,Puerto Rico,1
Aid to Artisans,"Washington, DC",5
Aid To Artisans,"Washington, DC",1
AIDS Project Worcester,"Worcester, MA",9
AIDS Project Worcester,Worcester Community Project Center,3
Al Akhawayn University,Morocco,1
"Al Akhawayn University, Ifrane, Morocco.",Morocco,4
"Al-Akhawayn University, Morocco","Hong Kong, China",1
Alastair Graham,"Cape Town, South Africa",2
Albania Rafting Group,Albania,1
Alden Booth,"Sante Fe, New Mexico",1
Alessa Stabile,"Hong Kong, China",1
Alice Sin Yin Chow,"Hong Kong, China",1
Alternative Technology Association,"Melbourne, Australia",12
Alternative Technology Association (ATA),"Venice, Italy",1
Alternatives for Community & Environment (ACE),"Boston, Massachusetts",2
Alzheimer's Care Armenia (ACA),"San Jose, Costa Rica",2
American Antiquarian Society,"Cape Town, South Africa",6
American Antiquarian Society,"Copenhagen, Denmark",3
American Antiquarian Society,"Sante Fe, New Mexico",3
American Antiquarian Society,"London, England",2
American Antiquarian Society,"Melbourne, Australia",2
American Antiquarian Society,"Nantucket, Massachusetts",1
American Antiquarian Society,"Worcester, MA",1
American Antiquarian Society; Tufts University,Worcester Community Project Center,3
American Choral Directors Association,"Melbourne, Australia",5
American Choral Directors Association,"Washington, DC",2
American Choral Director's Association,"Melbourne, Australia",1
American Farm School,Costa Rica,2
American Farm School,"Bar Harbor, Maine",1
American Farm School,"London, England",1
American Farm School/Perrotis College,Namibia,4
American Forces Network-Europe,"Ifrane, Morocco",2
American Forestry Association,New Zealand,5
American Institute of Aeronautics and Astronautics,"Bar Harbor, Maine",3
American Institute of Aeronautics and Astronautics,"Venice, Italy",1
"American Society for Engineering Education, Mechanics Division","Bangkok, Thailand",1
American Women's Club of Thailand,"Windhoek, Namibia",4
Amino,"San Jose, Costa Rica",1
Amnesty International,"London, England",1
Andover High School,"Bar Harbor, Maine",1
Andy Pressman,"Venice, Italy",1
Angelita Rieckehoff,"San Juan, Puerto Rico",1
Anne Gobi,"Boston, Massachusetts",1
Anne Hrobsky,Worcester Community Project Center,2
Antarctic Research Center,New Zealand,1
Arabesque Inc.,Morocco,1
"Arabesque, Fes, Morocco; Al Akhawayn University, I",Morocco,1
Arava Institute for Environmental Studies,"Sante Fe, New Mexico",3
Arboles Magicos,"Sante Fe, New Mexico",2
Archway Inc.,Worcester Community Project Center,1
ARKA,"Hong Kong, China",1
Armenian Church of Our Savior,"Venice, Italy",2
Armenian Church of Our Saviour,"Melbourne, Australia",1
Armenian Eye Care Project,WORC / Worcester Community Project Center,9
Armenian EyeCare Project,"London, England",1
Armenian General Benevolent Union (AGBU),"Hong Kong, China",1
Art Alive in Churches,"London, England",1
Arthritis Care,"Venice, Italy",3
"Arthritis Care, London, England","San Jose, Costa Rica",5
"Arthritis Care, London, England","Venice, Italy",3
"Arthritis Care, London, England","Hong Kong, China",2
Arthritis Foundation,"San Juan, Puerto Rico",4
Arti.City,"Venice, Italy",2
ARTS Worcester,"Cape Town, South Africa",2
ARTS Worcester,"Washington, DC",1
Arzana,"Venice, Italy",10
Arzana; Superintendence for Archaeological Heritage of Venice,"Venice, Italy",1
Ascentria Care Alliance,Worcester Community Project Center,1
Asian Disaster Preparedness Center,"Bangkok, Thailand",1
Asociación El Cántaro de Sancapac,Puerto Rico,1
Asociacion Campesina el Cantaro de Sancapac de Cum,"Windhoek, Namibia",1
Assessorato all'Ambiente,Namibia,1
Assessorato all'Ambiente; Assessorato all'Urbanistica,"Melbourne, Australia",2
Assessorato all'Urbanistica,"Zurich, Switzerland",5
Assessorato all'Urbanistica; UNESCO,"Copenhagen, Denmark",2
ASSISTments,"Hong Kong, China",3
ASSISTments,"London, England",3
ASSISTments,"Venice, Italy",2
ASSISTments,"Melbourne, Australia",1
ASSISTments,Namibia,1
ASSISTments,"Washington, DC",1
ASSISTments,"Windhoek, Namibia",1
Association Dar Si Hmad,Morocco,1
Association Solidarité Féminine,Morocco,1
Astrakhan State University,Russia,4
ATA,"Melbourne, Australia",1
ATC,"Venice, Italy",1
"Atlas Electrica, S.A",Costa Rica,1
"Atticus Sims, Kyoto VR","San Jose, Costa Rica",1
Auburn Fire Department,"Sante Fe, New Mexico",1
Austin Brothers Valley Farm,Worcester Community Project Center,1
Austin Brother's Valley Farm,"London, England",2
Australasian Fire Authorities Council,"Melbourne, Australia",5
Australian Bureau of Statistics,"Melbourne, Australia",12
Australian Bureau of Statistics,Namibia,3
Australian Bureau of Statistics,"Bar Harbor, Maine",1
Australian Bureau of Statistics; Royal Victorian Institute for the Blind,"San Jose, Costa Rica",2
Autism Speaks,Morocco,21
Autoridad de Carreteras y Transportacion,"Washington, DC",5
Autoridad de Carreteras y Transportacion,"San Juan, Puerto Rico",2
Autoridad Nacional para la Innovacion Gubernamenta,"Panama City, Panama",1
Azienda di Promozione Turistica,"Windhoek, Namibia",2
Azienda di Promozione Turistica,Costa Rica,1
"B9 Plastics. Ontario, NY","Boston, Massachusetts",2
Baan Yang School / Paisarn Sukjarean,Namibia,1
"Bangkok Breast Cancer Support Group, Queen Sirikit","Bangkok, Thailand",1
"Bangkok Breast Cancer Support Group, Queen Sirikit","Venice, Italy",1
Bangkok Refugee Center,"Bangkok, Thailand",1
Banksia Community Gardens,"Hong Kong, China",1
Banksia Gardens,"Melbourne, Australia",2
Banksia Gardens Community Centre,"Melbourne, Australia",6
Banksia Gardens Community Services,"Melbourne, Australia",9
Banksia Gardens Community Services,"Hong Kong, China",5
Banksia Gardens Community Services,"Venice, Italy",3
Baxter Productos Medicos Ltda,"San Jose, Costa Rica",3
Baxter Productos Medicos Ltda,Morocco,1
Beijing Jiaotong University,"Beijing, China",1
Beijing University of Chemical Technology,New Zealand,6
Bell Bird Biological Corridor,Costa Rica,1
Benito Vega,Worcester Community Project Center,2
Benoît Jacquet,Costa Rica,1
Bexley Heritage Trust,"London, England",4
Beyond Zero Emissions,"Melbourne, Australia",2
Bicycle Innovation Lab,"Copenhagen, Denmark",2
Bioregional,"London, England",1
BioRegional Development Group,Worcester Community Project Center,1
Blackstone Canal District Alliance,Worcester Community Project Center,3
Blackstone Valley Education Foundation,Worcester Community Project Center,2
Blackstone Valley Regional High School,Costa Rica,5
Blue Hill Observatory,"Boston, Massachusetts",1
"Bolton Fire Department, Bolton Massachusetts","Zurich, Switzerland",1
Bomberos,"San Jose, Costa Rica",2
Bomberos of Costa Rica,Costa Rica,1
Border Green Energy Team,"Bangkok, Thailand",1
Borough of Brent,"London, England",6
Borough of Merton,"London, England",1
"Borough of Merton - Housing and Social Services Department, London, England",New Zealand,2
"Borough of Merton, London, England",India,4
"Borough of Merton, London, England","London, England",3
"Borough of Merton, London, England","San Jose, Costa Rica",3
"Borough of Merton, London, England","Bangkok, Thailand",1
"Borough of Merton, London, England","Washington, DC",1
"Borough of Merton's Housing and Social Services Department, London, England","Washington, DC",1
Boston Air Pollution Control Commission,"Boston, Massachusetts",1
Boston EMS,"San Jose, Costa Rica",2
Boston EMS,New Zealand,1
"Boston EMS, UMASS Memorial and BIDMC, Harvard Medi",Worcester Community Project Center,3
Boston Environment Department,"Boston, Massachusetts",4
"Boston Fire Department, Boston, Massachusetts",Morocco,4
Boston Harbor Now,"Boston, Massachusetts",1
Boston Harbor Now,Morocco,1
Boston MIS Department,"Boston, Massachusetts",2
Boston Museum of Science,"Boston, Massachusetts",2
Boston Redevelopment Authority,"Boston, Massachusetts",9
Boston Redevelopment Authority,"Worcester, MA",3
Boston/UMass,"Copenhagen, Denmark",1
Boxborough Massachusetts,Namibia,1
Boy Scouts of America,"Melbourne, Australia",3
Boylston Municipal Light Department,"Boston, Massachusetts",2
Boylston Water District,"Lille, France",1
Boys & Girls Club of Worcester,"San Juan, Puerto Rico",1
Boys & Girls Club of Worcester,Worcester Community Project Center,1
Boys and Girls Club of Worcester,"Cape Town, South Africa",9
BPMA,"London, England",1
"Breakthrough Charter Elementary School, West Hartford, CT",Microsoft Corporation,4
Brian Rogan,"Boston, Massachusetts",1
British Fire Service College,"Copenhagen, Denmark",6
British Museum,"Hong Kong, China",6
British Museum,"London, England",5
British Museum,"Melbourne, Australia",1
British Museum Interpretation Unit,"London, England",4
British Musuem,"London, England",1
British Postal Museum & Archive,"London, England",2
Brookline Parks and Open Space Division,"Venice, Italy",2
Brotherhood of St Laurence,"Venice, Italy",1
Brunswick Rail,Russia,2
Bryan Glascock,"Boston, Massachusetts",1
bsl,"Hong Kong, China",3
Bster Sci and Tech,"Hangzhou, China",1
Building Commission,"Melbourne, Australia",4
Bumrungrad Hospital,"Bangkok, Thailand",3
Burlington Community Food Pantry,"Melbourne, Australia",1
Burncoat Senior High School,New Zealand,1
Burncoat Senior High School,"Venice, Italy",1
Bushfire Cooperative Research Centre,"Melbourne, Australia",1
Business Environment Council,"San Jose, Costa Rica",1
Business Environment Council Limited,"Hong Kong, China",6
Business Environment Council of Hong Kong,"Hong Kong, China",1
Business Inclusion Council; Worcester Information Technology Project,"Copenhagen, Denmark",10
Cámara de Industrias de Costa Rica,"San Jose, Costa Rica",4
Cámara de Industrias de Costa Rica,Costa Rica,3
Cámara de Industrias de Costa Rica,"Venice, Italy",1
Caguas Botanical and Cultural Garden,"San Juan, Puerto Rico",1
Callaghan Innovation,New Zealand,3
Callaghan Innovation,"Hong Kong, China",1
Camara de Industrias Costa Rica,Costa Rica,1
Camara de Industrias de Costa Rica,Costa Rica,4
Camara de Industrias de Costa Rica,"San Jose, Costa Rica",2
Camp REACH,"Venice, Italy",2
"Camp REACH, WPI","Venice, Italy",5
Canal District Alliance; Fairfax Films,"Hong Kong, China",1
Capability Management,"Melbourne, Australia",1
Cape Innovation and Technology Initiative,"Venice, Italy",1
Cape Town City Parks Department,"Cape Town, South Africa",1
Cape Town Environmental and Heritage Management,"Cape Town, South Africa",1
Cape Town Office of Sustainable Livelihoods,"Cape Town, South Africa",3
Carbon Reduction in Buildings,"London, England",10
Caritas - Hong Kong,"Hong Kong, China",2
Caritas - Hong Kong,India,1
Caritas - Hong Kong,"Melbourne, Australia",1
Caritas - Hong Kong,Morocco,1
Caritas Adult and Higher Education Service,"Cape Town, South Africa",3
Caritas Adult and Higher Education Service,Puerto Rico,2
Caritas Charles Vath College,"Hong Kong, China",2
Caritas Charles Vath College,Worcester Community Project Center,1
Caritas Francis Hsu College,"Hong Kong, China",4
Caritas Hong Kong,"Hong Kong, China",2
Caritas Institute of Higher Education,"Hong Kong, China",6
CASA,Namibia,1
CASA Project,Worcester Community Project Center,1
CCT Environmental Resource Management Department,"Cape Town, South Africa",1
CDIPC,Puerto Rico,2
CECD,"Cape Town, South Africa",3
"Central MA Regional Stormwater Coalition, MassDEP",Worcester Community Project Center,6
Central Masachusetts Regional Planning Commission,"Worcester, MA",1
Central Massachusetts Manufacturing Partnership,"Sante Fe, New Mexico",4
Central Massachusetts Regional Planning Commission,Worcester Community Project Center,2
Central Massachusetts Regional Planning Commission; MassRIDES,"Ifrane, Morocco",1
Central Massachusetts Regional Stormwater Coalitio,"San Juan, Puerto Rico",1
Central Tree Middle School,"Windhoek, Namibia",2
Central Tree Middle School,"Cape Town, South Africa",1
Centre for Accessible Environments,"London, England",2
Centre for Childhood Development,"Cape Town, South Africa",4
Centre for Early Childhood Development,"Cape Town, South Africa",3
Centre for Early Childhood Development,"Venice, Italy",1
Centre for Education & Research in Environmental Strategies,Morocco,1
Centre for Education and Research in Environmental,"Melbourne, Australia",1
"Centre for Teaching and Learning, PoN",Namibia,2
Centro Cientifico Tropical,Costa Rica,2
Centro Cientifico Tropical,"Washington, DC",2
Centro Costarricense de Ciencia y Cultura,"Melbourne, Australia",1
"Centro Maree, ISMAR, IPROS","Venice, Italy",1
Centro Nacional de Producción más Limpia,"San Jose, Costa Rica",1
Centro Nacional de Produccion mas Limpia,Costa Rica,1
Centro Nacional para la Produccion mas Limpia,Costa Rica,1
Centro Progetti Venezia,"Venice, Italy",3
Centro Studi Americani,"Melbourne, Australia",4
Centro Studi Americani,"Venice, Italy",3
CERES,"Melbourne, Australia",5
CERES,"Hong Kong, China",4
CERES,"Venice, Italy",1
CERES Community Environment Park,"Melbourne, Australia",5
CERES Environment Park,"Melbourne, Australia",1
CFA,"Melbourne, Australia",1
Chaipattana Foundation,"Bangkok, Thailand",2
Chaipattana Foundation,"Washington, DC",1
Chamber of Industries in Costa Rica,Costa Rica,1
Chamber of Industry of Costa Rica,"Venice, Italy",1
Chamber or Industry,Costa Rica,1
Charity Logistics London,"Boston, Massachusetts",1
Charles Dickens Museum,"London, England",2
Cheetah Conservation Fund,"Windhoek, Namibia",2
Chelsea Collaborative,"Boston, Massachusetts",1
Cherry Valley Sewer District,Worcester Community Project Center,2
Child Obesity & Type 2 Diabetes Prevention Network,New Zealand,2
Child Obesity & Type 2 Diabetes Prevention Network,"Bar Harbor, Maine",1
Children's Hospital Costa Rica Foundation,"San Jose, Costa Rica",2
Children's Museum and Theatre of Maine,Worcester Community Project Center,1
Chinese University of Hong Kong,"Hong Kong, China",6
Chinese University of Hong Kong,"Sante Fe, New Mexico",1
Chocksett Elementary School,"London, England",1
Christa McAuliffe Regional Charter Public School,"London, England",1
Christopher Music,Costa Rica,1
ChuanChao Investment,"Hangzhou, China",1
Chuck Kayser,Namibia,1
"Chulalongkom University, Bangkok, Thailand","Venice, Italy",6
Chulalongkorn University,"Bangkok, Thailand",2
"Chulalongkorn University, Bangkok, Thailand","Cape Town, South Africa",6
"Chulalongkorn University, Bangkok, Thailand","Venice, Italy",2
"Chulalongkorn University, Bangkok, Thailand","Windhoek, Namibia",1
"Chulalongkorn University, Bangkok, Thailand","Zurich, Switzerland",1
"Chulalongkorn University, Thailand","Hong Kong, China",3
Ciba Association,Worcester Community Project Center,1
"Cicatelli Associates, Inc","Melbourne, Australia",4
CIDH,"San Jose, Costa Rica",2
City of Alexandria and NVRC,"Washington, DC",1
City of Boroondara,"Melbourne, Australia",1
City of Boston,"Boston, Massachusetts",1
City of Boston - Air Pollution Control Commission,"Melbourne, Australia",1
City of Boston - Boston Landmarks Commission,"Melbourne, Australia",7
City of Boston - Boston Landmarks Commission,"Cape Town, South Africa",2
City of Boston - Emergency Medical Services,"Worcester, MA",3
City of Boston - Environmental Dept,Namibia,6
City of Boston - Environmental Dept,"Worcester, MA",2
City of Boston - Environmental Dept,"Melbourne, Australia",1
City of Boston - Environmental Dept,Microsoft Corporation,1
City of Boston - Environmental Dept,New Zealand,1
City of Boston MIS,"Boston, Massachusetts",1
"City of Boston, Environment Department","Boston, Massachusetts",1
City of Boston: Mayor's Office of Energy and Envir,"Boston, Massachusetts",1
City of Boston's Environment Department,"Boston, Massachusetts",1
City of Cambridge,"Melbourne, Australia",4
City of Cambridge - Department of Public Works,India,3
City of Cambridge - Department of Public Works,"Melbourne, Australia",1
"City of Cambridge - Traffic, Parking and Transportation Department",Namibia,2
"City of Cambridge - Traffic, Parking and Transportation Department","Hong Kong, China",1
"City of Cambridge - Traffic, Parking and Transportation Department","San Jose, Costa Rica",1
City of Cape Town and Touching the Earth Lightly,"Cape Town, South Africa",3
City of Cape Town Department of Heritage and Envir,"Melbourne, Australia",1
City of Cape Town Environmental Resource Managemen,"Cape Town, South Africa",5
City of Cape Town Environmental Resource Managemen,"Hong Kong, China",3
City of Cape Town Housing Directorate,"Cape Town, South Africa",1
City of Cape Town Informal Settlement Department,"Cape Town, South Africa",1
City of Cape Town Water and Sanitation Department,"Cape Town, South Africa",1
City of Cape Town Water and Sanitation Department,Worcester Community Project Center,1
"City of Cape Town, Dept. of Transport Planning","Cape Town, South Africa",1
"City of Cape Town, Liaison Lungelo Nokwaza","Cape Town, South Africa",2
"City of Cape Town: Catchment, Stormwater & River M","Cape Town, South Africa",1
City of Chelsea,"Boston, Massachusetts",2
City of Melbourne Building Team,"Melbourne, Australia",3
City of Melbourne's Building Team,"Melbourne, Australia",1
"City of Newton - Department of Public Works, Engineering Division",New Zealand,1
City of Santa Fe,"Sante Fe, New Mexico",3
City of Santa Fe,"Washington, DC",1
"City of Stellenbosch, Department of Integrated Hum","Cape Town, South Africa",1
City of Venice,"Venice, Italy",15
City of Venice Environment Department,"Cape Town, South Africa",2
"City of Venice Environment Department, Venice, Italy","Copenhagen, Denmark",3
"City of Venice, Italy","San Jose, Costa Rica",1
"City of Venice, Urbanistica and Edilizia Privata Departments","Venice, Italy",2
"City of Venice, VPC","Venice, Italy",3
City of Windhoek,Namibia,4
City of Windhoek,"Windhoek, Namibia",1
City of Windhoek Corp. Comm. and Tourism Division,"Windhoek, Namibia",1
"City of Windhoek Department of Infrastructure, Wat","Windhoek, Namibia",2
City of Windhoek Tourism Division,"Windhoek, Namibia",1
"City of Windhoek, DIWTS",Namibia,1
City of Worcester,Worcester Community Project Center,10
City of Worcester,"Zurich, Switzerland",4
City of Worcester,New Zealand,3
City of Worcester,"Worcester, MA",3
City of Worcester,"Hong Kong, China",1
City of Worcester - Executive Office of Economic Development,Costa Rica,4
City of Worcester - Executive Office of Neighborhood Services,"Cape Town, South Africa",1
"City of Worcester, Health and Human Services","Hong Kong, China",4
"City of Worcester, MA","London, England",2
Ciudad del Saber,"Panama City, Panama",1
Civic Exchange,"Melbourne, Australia",3
Civic Exchange,"Hong Kong, China",2
Civic Exchange Ltd,"Cape Town, South Africa",2
Civic Exchange Ltd,"Melbourne, Australia",1
"Civic Exchange, Hong Kong","San Jose, Costa Rica",6
"Civic Exchange, Hong Kong, China",Microsoft Corporation,4
"Civic Exchange, Hong Kong, China","London, England",3
"Civic Exchange, Hong Kong, China","Venice, Italy",2
"Civic Exchange, Hong Kong, China","Hong Kong, China",1
Clemente Course in the Humanities,"Sante Fe, New Mexico",1
CMRCS,"Venice, Italy",1
CMRSWC and MassDEP,Namibia,1
CNP+L,"San Jose, Costa Rica",6
"CNP+L, San Jose","Venice, Italy",1
Cochiti Pueblo,"Sante Fe, New Mexico",3
Colegio Federado de Ingenieros y de Architectos,"London, England",1
Colegio Tecnico Profesional Santa Ana,Costa Rica,12
Colegio Tecnologico del Municipio de San Juan,Namibia,12
Colegio Tecnologico del Municipio de San Juan,"Hong Kong, China",1
Collings Foundation and AIAA NEC,"Boston, Massachusetts",4
COMCURE,Costa Rica,9
Comcure,Costa Rica,2
COMCURE,"San Jose, Costa Rica",1
Commonside,"London, England",3
Commonside Community Development Trust,"London, England",15
Commonside Community Development Trust,"Cape Town, South Africa",1
Commonside Community Development Trust,"Hong Kong, China",1
Commonside Community Development Trust- The New Ho,"London, England",3
Commonwealth Journalists Association,"San Jose, Costa Rica",1
Commonwealth Scientific and Industrial Research Or,"Melbourne, Australia",8
Community Foundation for Nantucket,"Nantucket, Massachusetts",1
Community Harvest Project,"Venice, Italy",3
Community Harvest Project,Costa Rica,2
Community Harvest Project,Worcester Community Project Center,1
Community Organisation Resource Centre,"Cape Town, South Africa",9
Community Organisation Resource Centre (CORC),"Cape Town, South Africa",2
CompaÃ±Ã­a de Tourismo de Puerto Rico,"San Juan, Puerto Rico",1
Compania para el Desarrollo Integral de la Peninsu,Puerto Rico,1
Competitiveness Center of the Western Region,"Panama City, Panama",3
Conservation Trust of Puerto Rico,Puerto Rico,5
Conservation Trust of Puerto Rico,"San Juan, Puerto Rico",3
Consorzio Motoscafi Venezia,"Venice, Italy",1
Consorzio Trasportatori Veneziani Riuniti,"Cape Town, South Africa",3
Consumer Product Safety Commission,"Washington, DC",9
Consumer Product Safety Commission,Costa Rica,1
Consumer Product Safety Commission,"Hong Kong, China",1
Consumer Product Safety Commission,Morocco,1
Consumer Product Safety Commission,New Zealand,1
Consumer Product Safety Commission,"San Juan, Puerto Rico",1
Conway Library,"Venice, Italy",4
Copa Airlines,"Panama City, Panama",2
COPA Airlines,"Panama City, Panama",1
Copa Airlines,"Melbourne, Australia",1
Copenhagen Project Center,"Copenhagen, Denmark",1
CORCLIMA,"London, England",3
CORCLIMA,Costa Rica,1
Corporate Accountability International,Worcester Community Project Center,4
COSES and the City of Venice,"Venice, Italy",2
Costa Rica Ministry of Agriculture,Costa Rica,2
Costa Rican Fire Department (los Bomberos),Costa Rica,1
Cottage Homes,"Venice, Italy",1
Country Fire Authority,"Melbourne, Australia",4
Country Fire Authority,"London, England",3
Country Fire Authority,New Zealand,3
Country Fire Authority,"Sante Fe, New Mexico",2
Country Fire Authority,"Venice, Italy",2
CPC Project Services,"London, England",1
CPSC,"Washington, DC",3
Creative Platform,"Cape Town, South Africa",1
Creativity Platform,"Hong Kong, China",1
Credit Suisse,Costa Rica,2
Credit Suisse,"Zurich, Switzerland",1
Crocodile River Music,"Bangkok, Thailand",2
Crossrail,"London, England",4
Croydon Council,"London, England",8
"CSA Architects and Engineers, San Juan, Puerto Rico","Melbourne, Australia",8
CSA Group,"San Juan, Puerto Rico",4
"CSA Group, San Juan, Puerto Rico","San Juan, Puerto Rico",1
CSIRO,"Melbourne, Australia",8
CSIRO Education,"Melbourne, Australia",1
"CSIRO, Melbourne, Australia","San Jose, Costa Rica",4
"CSIRO, Melbourne, Australia",New Zealand,1
CSIRO-Australia,Costa Rica,1
CSIRO-SEC Australia,"Melbourne, Australia",2
"CTVR and Pax in Aqua, Venice, Italy","Melbourne, Australia",1
Cuerpe de Bomberos,"Washington, DC",4
Cuerpo de Bomberos,Costa Rica,1
Cuerpo de Bomberos de Costa Rica,Costa Rica,4
Cuerpo de Bomberos de Costa Rica,"Venice, Italy",2
Cuerpo de Bomberos with the University of Costa Ri,"San Jose, Costa Rica",6
"Cuerpo de Bomberos, San Jose, Costa Rica","Washington, DC",2
Cultural Heritage without Borders (Albania),Albania,2
Cummings School of Veterinary Medicine at Tufts Un,"Cape Town, South Africa",1
Curia Patriarcale,"Venice, Italy",2
Curia Patriarcale,"San Juan, Puerto Rico",1
Cycling w/o Age,"London, England",1
Cycling Without Age,"Venice, Italy",1
Dalin Tang,Costa Rica,1
Dalin Tang,"London, England",1
Dalin Tang,Worcester Community Project Center,1
Dalin Tang,"Worcester, MA",1
"Danish Association for the Blind, Cophenhagen, Denmark","Sante Fe, New Mexico",1
Danish Association of the Blind,"Copenhagen, Denmark",4
Danish Association of the Blind,"Melbourne, Australia",1
"Danish Association of the Blind, Copenhagen, Denmark",Namibia,5
Danish Bicycle Federation,"Copenhagen, Denmark",2
"Danish Center for Technical Aids for Rehabilitation and Education, Copenhagen, Denmark","Venice, Italy",2
"Danish Centre for Technical Aids for Rehabilitation and Education, Copenhagen, Denmark","Ifrane, Morocco",1
Danish Consumer Council,"Copenhagen, Denmark",11
Danish Consumer Council,Worcester Community Project Center,3
Danish Cyclist Federation,"Copenhagen, Denmark",1
"Danish Cyclist Federation, Copenhagen, Denmark","London, England",2
"Danish Cyclist Federation, Copenhagen, Denmark","Worcester, MA",2
"Danish Cyclist Federation, Copenhagen, Denmark","Hangzhou, China",1
"Danish Cyclist Federation, Copenhagen, Denmark",Worcester Community Project Center,1
Danish Cyclists Federation,"Copenhagen, Denmark",1
Danish Design Center,"Copenhagen, Denmark",2
Danish Design Centre,"Copenhagen, Denmark",1
Danish Institute of Fire and Security Technology,"Copenhagen, Denmark",1
Danish National Museum,"Copenhagen, Denmark",4
Danish Waste Association,"Copenhagen, Denmark",2
Dansk Affaldsforening,"Copenhagen, Denmark",7
Dansk Blindesamfund,"Copenhagen, Denmark",2
Dansk Cyklist Forbund,"Copenhagen, Denmark",2
Danske Delebiler,"Copenhagen, Denmark",1
Dar Si Hmad,Morocco,1
"DARPA, FIRST","Hong Kong, China",1
Dave Adams,"London, England",1
David Finkel,"London, England",2
Davis Publications,"Worcester, MA",2
Davis Publications,"Venice, Italy",1
"Dawson School, Holden, MA",Microsoft Corporation,2
DCU Center,Costa Rica,1
"Dean Chen, Hangzhou Dianzi University","Hangzhou, China",4
Dean Karen Oates,Worcester Community Project Center,1
Dean Karen Oates,"Zurich, Switzerland",1
Deloitte,Russia,4
Delphos International,"Washington, DC",1
Departamento de Recursos Naturales y Ambientales,Puerto Rico,2
"Departamento de Recursos Naturales y Ambientales (DRNA), Puerto Rico","Hong Kong, China",1
Department of Conservation,New Zealand,3
Department of Conservation and Recreation,"Worcester, MA",1
Department of Conservation New Zealand,New Zealand,1
Department of Energy,"Washington, DC",1
"Department of English, The Hong Kong Polytechnic U","Hong Kong, China",1
Department of Environmental Protection,Worcester Community Project Center,5
Department of Environmental Protection,"Boston, Massachusetts",2
Department of External Relations,New Zealand,4
Department of External Relations in Cuenca,"London, England",1
"Department of Human Services, Capital Management B","Melbourne, Australia",1
Department of Infrastructure,"Melbourne, Australia",1
"Department of Infrastructure, Water and Technical","Windhoek, Namibia",1
Department of Natural and Enviormental Resources,"San Juan, Puerto Rico",1
Department of Natural and Environmental Resources,"San Juan, Puerto Rico",8
Department of Natural and Environmental Resources,Puerto Rico,5
"Department of Natural and Environmental Resources,",Puerto Rico,6
"Department of Natural and Environmental Resources, San Juan, Puerto Rico","Washington, DC",1
Department of Neighborhood Development,"Boston, Massachusetts",1
Department of Permitting Services,"Washington, DC",4
"Department of Urban Planning, Mohammed V Universit",Costa Rica,1
"Departmento de Recursos Naturales y Ambientales, San Juan, Puerto Rico","Hong Kong, China",1
Deprtment of Transportation,"Sante Fe, New Mexico",3
"Dept. of Marine and Env. Affairs, Plymouth, MA","Hong Kong, China",1
"Dept. of Marine and Env. Affairs, Plymouth, MA",New Zealand,1
Desert Research Foundation of Namibia,Namibia,27
Desert Research Foundation of Namibia,"Windhoek, Namibia",13
Desert Research Foundation Of Namibia - Water Desk,Namibia,1
Design Museum,"London, England",5
